year,ID
2015,139-25
2016,139-25
2017,139-25
2018,139-25
2019,139-25
2020,139-25
2021,139-25
2022,139-25
1990,139-35
1991,139-35
1992,139-35
1993,139-35
1994,139-35
1995,139-35
1996,139-35
1997,139-35
1998,139-35
1999,139-35
2000,139-35
2001,139-35
2002,139-35
2003,139-35
2004,139-35
2005,139-35
2006,139-35
2007,139-35
2008,139-35
2009,139-35
2010,139-35
2011,139-35
2012,139-35
2013,139-35
2014,139-35
2015,139-35
2016,139-35
2017,139-35
2018,139-35
2019,139-35
2020,139-35
2021,139-35
2022,139-35
2023,139-35
1990,140-2
1991,140-2
1992,140-2
1993,140-2
1994,140-2
1995,140-2
1996,140-2
1997,140-2
1998,140-2
1999,140-2
2000,140-2
2001,140-2
2002,140-2
2003,140-2
2004,140-2
2005,140-2
2006,140-2
2007,140-2
2008,140-2
2009,140-2
2010,140-2
2011,140-2
2012,140-2
2013,140-2
2015,140-2
2016,140-2
2017,140-2
2018,140-2
2019,140-2
2020,140-2
2021,140-2
2022,140-2
2023,140-2
1983,142-1
1984,142-1
1985,142-1
1986,142-1
1989,142-1
1990,142-1
1991,142-1
1992,142-1
1993,142-1
1994,142-1
1995,142-1
1996,142-1
1997,142-1
1998,142-1
1999,142-1
2000,142-1
2001,142-1
2002,142-1
2003,142-1
2004,142-1
2005,142-1
2006,142-1
2007,142-1
2008,142-1
2009,142-1
2010,142-1
2011,142-1
2012,142-1
2013,142-1
2014,142-1
2015,142-1
2016,142-1
2017,142-1
2018,142-1
2019,142-1
2020,142-1
2021,142-1
2022,142-1
2023,142-1
1974,148-2
1975,148-2
1976,148-2
1977,148-2
1978,148-2
1979,148-2
1980,148-2
1981,148-2
1982,148-2
1983,148-2
1984,148-2
1985,148-2
1986,148-2
1987,148-2
1988,148-2
1989,148-2
1990,148-2
1991,148-2
1992,148-2
1999,148-2
2000,148-2
2001,148-2
2002,148-2
2003,148-2
2004,148-2
2005,148-2
2006,148-2
2007,148-2
2008,148-2
2009,148-2
2010,148-2
2011,148-2
2012,148-2
2013,148-2
2014,148-2
2015,148-2
2016,148-2
2017,148-2
2018,148-2
2019,148-2
2020,148-2
2021,148-2
2022,148-2
2023,148-2
1994,15-21
1995,15-21
1996,15-21
1997,15-21
1998,15-21
1999,15-21
2000,15-21
2001,15-21
2002,15-21
2003,15-21
2004,15-21
2005,15-21
2006,15-21
2007,15-21
2008,15-21
2009,15-21
2010,15-21
2011,15-21
2012,15-21
2013,15-21
2014,15-21
2015,15-21
2016,15-21
2017,15-21
2018,15-21
2019,15-21
2020,15-21
2021,15-21
2022,15-21
2023,15-21
1963,15-49
1964,15-49
1965,15-49
1966,15-49
1967,15-49
1968,15-49
1969,15-49
1972,15-49
1975,15-49
1977,15-49
1978,15-49
1979,15-49
1980,15-49
1981,15-49
1983,15-49
1984,15-49
1985,15-49
1986,15-49
1987,15-49
1988,15-49
1989,15-49
