year_key,decimaldate,Qm3_s,d,ID
2006,2006.9450913242,89.082184,1,22-22
2007,2007.51289954338,112.578171,1,22-22
2008,2008.04314663024,153.941208,1,22-22
2009,2009.93321917808,102.316536,1,22-22
2010,2010.76575342466,93.719002,1,22-22
2011,2011.95136986301,71.522026,1,22-22
2012,2012.89071038251,81.309227,1,22-22
2013,2013.98105022831,118.302223,1,22-22
2014,2014.00593607306,103.440308,1,22-22
2015,2015.9301369863,114.535233,1,22-22
2016,2016.1068989071,66.404732,1,22-22
2017,2017.74942922374,187.849426,1,22-22
2018,2018.68641552511,87.107971,1,22-22
2019,2019.94452054795,80.32766,1,22-22
2020,2020.12807377049,90.631371,1,22-22
2021,2021.75627853881,67.799866,1,22-22
2022,2022.91073059361,115.756744,1,22-22
2023,2023.02168949772,90.345558,1,22-22
1994,1994.45319634703,149.900665,1,223-1
1995,1995.43059360731,304.407043,1,223-1
1996,1996.43989071038,356.134644,1,223-1
1997,1997.44349315068,440.599884,1,223-1
1998,1998.46107305936,124.098549,1,223-1
1999,1999.61952054795,144.213303,1,223-1
2000,2000.4154143898,328.077484,1,223-1
2001,2001.43869863014,194.3806,1,223-1
2004,2004.35257285975,310.959839,1,223-1
2005,2005.44680365297,265.386139,1,223-1
2006,2006.39235159817,232.766739,1,223-1
2007,2007.4301369863,217.057922,1,223-1
2008,2008.42338342441,233.448563,1,223-1
2009,2009.41404109589,212.723236,1,223-1
2010,2010.37819634703,485.831268,1,223-1
2011,2011.39737442922,313.529633,1,223-1
2012,2012.40482695811,220.385239,1,223-1
2013,2013.38892694064,369.195953,1,223-1
2014,2014.4299086758,366.530792,1,223-1
2015,2015.41952054795,180.062943,1,223-1
2016,2016.39617486339,155.638504,1,223-1
2017,2017.44349315068,254.458923,1,223-1
2018,2018.37363013699,269.108032,1,223-1
2019,2019.41084474886,229.847534,1,223-1
2020,2020.43431238616,508.260895,1,223-1
2021,2021.44737442922,491.069305,1,223-1
2022,2022.39988584475,355.241943,1,223-1
2023,2023.38630136986,316.196625,1,223-1
1990,1990.4135825723,94.5206994461514,1,234-13
1991,1991.411097793,109.383671884726,1,234-13
1992,1992.41216036733,299.004319836659,1,234-13
1993,1993.46841133942,217.468252210428,1,234-13
1994,1994.42315639269,131.870088030556,1,234-13
1995,1995.41172564688,218.120708416667,1,234-13
1996,1996.44059084699,307.69397776667,1,234-13
1997,1997.44367009132,321.819066083334,1,234-13
1998,1998.3808542618,237.133805011112,1,234-13
1999,1999.61946347032,199.748161855557,1,234-13
2000,2000.41638964784,299.22580045,1,234-13
2001,2001.35559360731,159.009308,1,234-13
2002,2002.3399543379,184.218079,1,234-13
2003,2003.37214611872,175.635574,1,234-13
2004,2004.35530510018,185.36293,1,234-13
2005,2005.43196347032,296.267365,1,234-13
2006,2006.39783105023,149.468842,1,234-13
2007,2007.38698630137,244.472122,1,234-13
2008,2008.42577413479,189.993896,1,234-13
2009,2009.36164383562,160.530304,1,234-13
2010,2010.38093607306,227.712341,1,234-13
2011,2011.39726027397,272.83963,1,234-13
2012,2012.40744535519,196.879135,1,234-13
