Nr	version	A2_version	numdig	onezero	twozero	Navn	Areal (km2)	Dailydata_Start	Dailydata_Slutt	Dailydata_Utlatt	Dailydata_N	Findata_Start	Findata_Slutt	Findata_Utelatt	Findata_N
83.6	1	1	1	FALSE	FALSE	Byttevatn	104.54	1966	2015	1972:1974, 1977	46	1985	2015		31
83.7	1	1	1	FALSE	FALSE	Grønengstølsvatn	65.65	1966	2015		50	1966	2015	1968, 1976, 1995, 2003	46
83.12	1	1	2	FALSE	FALSE	Haukedalsvatn	205.55	1985	2015		31	1986	2015	1999	29
84.7	1	1	1	FALSE	FALSE	Sægrova	7.14	1997	2005	2002:2003	7	1997	2005	1999, 2002, 2003	6
84.10	1	1	2	TRUE	FALSE	Nesvatn	96,1	1964	1988		25				
84.15	1	1	2	FALSE	FALSE	Jølstervatn ndf.	384.46	1903	1951		49				
84.19	1	1	2	FALSE	FALSE	Sygnesandselva	10.32	1998	2009		12	1999	2008	2002	9
84.20	1	1	2	TRUE	FALSE	Holsenvatn	71.48	1964	2015		52	1983	2015	2002	32
84.30	1	1	2	TRUE	FALSE	Lunde	34.37	1996	2009		14	1996	2009	2002	13
85.1	1	1	1	FALSE	FALSE	Norddal	97,5	1909	1962		54				
85.2	1	1	1	FALSE	FALSE	Blåmannsvatn	225.63	1930	1985		56				
85.4	1	1	1	FALSE	FALSE	Staumstad	109.68	1975	2015		41	1982	2015	1984, 1995, 1997	31
86.1	1	1	1	FALSE	FALSE	Risevatn	32.57	1929	1971		43				
86.4	1	1	1	FALSE	FALSE	Gjengedalsvatn	56,0	1964	2000		37	1970	2000		31
86.10	1	1	2	TRUE	FALSE	Åvatn	162.13	1975	2015		41	1984	2015	1985, 1995, 1998, 1999, 2002:2004, 2008	24
86.12	1	1	2	FALSE	FALSE	Skjerdalselv	23.66	1983	2015		33	1983	2015	1989, 1996	31
87.2	1	1	1	FALSE	FALSE	Eidsfoss	614.33	1901	1915		15				
87.10	1	1	2	TRUE	FALSE	Gloppenelv v/Bergheim	217.12	1971	2015		45				
88.4	1	1	1	FALSE	FALSE	Lovatn	234.88	1901	2015		115	1988	2015		28
88.11	1	1	2	FALSE	FALSE	Strynsvatn	482.04	1982	2015	1994, 1996, 2001:2006	26	1985	2015	1990, 1994, 1996, 2001:2006	22
88.15	1	1	2	FALSE	FALSE	Grasdøla	34.54	1980	2015	1985, 1986, 1989:1997	25	1987	2015	1989:1997, 2002	19
88.30	1	1	2	TRUE	FALSE	Oldevatn	203.1	1988	2015		28	1988	2015		28
89.1	1	1	1	FALSE	FALSE	Hornindalsvatn	381.68	1967	2015		49	1990	2015	1996	25
